Date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
2016-01-31,3.5,0.93023255813953,3.7625,0.70993914807302,-23.68154158215,0.16385427311969,8.3593223894694,8.3501051492408,33.850964840829,10.60549937161
2015-07-31,3.65,0.91270022361155,3.9991225,0.76200417536534,-16.511012526096,3.2316875495651,8.0014510099909,1.8742055230425,41.839361303911,13.839949160955
2015-01-31,3.65,0.86307340439304,4.2290725,0.76200417536534,-11.710386221294,10.674412366612,9.1941298180108,7.333578343368,47.936665926533,16.697524354979
2014-07-31,3.65,0.74274891372971,4.9141775,0.76120959332638,2.4854535974974,28.337833943509,8.3904730050596,11.284655322734,61.340380754372,37.096183413586
2014-01-31,3.65,0.73721847469498,4.9510425,0.78933141106506,7.0688592539196,26.966748970026,8.9794917718092,15.24902294793,92.751535835858,25.456641666657
2013-07-31,3.5,0.77775617343963,4.500125,0.76810534016094,-1.2408558888076,15.770281438359,4.832851776604,19.931832455736,61.357238363516,23.773026369021
2013-01-31,3.5,0.73694682928627,4.749325,0.80139289717843,8.745009182627,27.330242693133,5.6143461165722,19.714502177865,54.760327611365,32.871461475404
2012-07-31,3.5,0.82484431063637,4.243225,0.80878105141537,-1.947429231658,15.976458742125,4.4364981586957,8.0784977547045,17.596098321715,23.263103254163
2012-01-31,3.5,0.78823946715012,4.440275,0.833885285975,5.7908568052187,26.206864767795,7.5453331950736,23.514092274818,21.80756922376,26.657388354252
2011-07-31,3.5,0.69752031527918,5.017775,0.8610086100861,23.438499384994,50.168314409595,10.168600004913,38.130906560513,42.354308397729,45.338879157905
